ObjID, ObjX, ObjY, ObjLen, ObjWidth, ObjVel, ObjCourse;
1, -4.19233, -1, 0.5, 0.5, 0, 0;
1, -4.56737, 1, 0.5, 0.5, 0, 0;
1, -4.56737, 3, 0.5, 0.5, 0, 0;
1, -4.56737, -1, 0.5, 0.5, 0, 0;
1, -4.95561, 1, 0.5, 0.5, 0, 0;
1, -4.95561, 3, 0.5, 0.5, 0, 0;
1, -4.95561, -1, 0.5, 0.5, 0, 0;
1, -5.35702, 1, 0.5, 0.5, 0, 0;
1, -5.35702, 3, 0.5, 0.5, 0, 0;
1, -5.35702, -1, 0.5, 0.5, 0, 0;
1, -5.77155, 1, 0.5, 0.5, 0, 0;
1, -5.77155, 3, 0.5, 0.5, 0, 0;
1, -5.77155, -1, 0.5, 0.5, 0, 0;
1, -6.19916, 1, 0.5, 0.5, 0, 0;
1, -6.19916, 3, 0.5, 0.5, 0, 0;
1, -6.19916, -1, 0.5, 0.5, 0, 0;
1, -6.63979, 1, 0.5, 0.5, 0, 0;
1, -6.63979, 3, 0.5, 0.5, 0, 0;
1, -6.63979, -1, 0.5, 0.5, 0, 0;
1, -7.0934, 1, 0.5, 0.5, 0, 0;
1, -7.0934, 3, 0.5, 0.5, 0, 0;
1, -7.0934, -1, 0.5, 0.5, 0, 0;
1, -7.55993, 1, 0.5, 0.5, 0, 0;
1, -7.55993, 3, 0.5, 0.5, 0, 0;
1, -7.55993, -1, 0.5, 0.5, 0, 0;
1, -8.03934, 1, 0.5, 0.5, 0, 0;
1, -8.03934, 3, 0.5, 0.5, 0, 0;
1, -8.03934, -1, 0.5, 0.5, 0, 0;
1, -8.53157, 1, 0.5, 0.5, 0, 0;
1, -8.53157, 3, 0.5, 0.5, 0, 0;
1, -8.53157, -1, 0.5, 0.5, 0, 0;
1, -9.03658, 1, 0.5, 0.5, 0, 0;
1, -9.03658, 3, 0.5, 0.5, 0, 0;
1, -9.03658, -1, 0.5, 0.5, 0, 0;
1, -9.55429, 1, 0.5, 0.5, 0, 0;
1, -9.55429, 3, 0.5, 0.5, 0, 0;
1, -9.55429, -1, 0.5, 0.5, 0, 0;
1, -10.0847, 1, 0.5, 0.5, 0, 0;
1, -10.0847, 3, 0.5, 0.5, 0, 0;
1, -10.0847, -1, 0.5, 0.5, 0, 0;
1, -10.6276, 1, 0.5, 0.5, 0, 0;
1, -10.6276, 3, 0.5, 0.5, 0, 0;
1, -10.6276, -1, 0.5, 0.5, 0, 0;
1, -11.183, 1, 0.5, 0.5, 0, 0;
1, -11.183, 3, 0.5, 0.5, 0, 0;
1, -11.183, -1, 0.5, 0.5, 0, 0;
1, -11.7508, 1, 0.5, 0.5, 0, 0;
1, -11.7508, 3, 0.5, 0.5, 0, 0;
1, -11.7508, -1, 0.5, 0.5, 0, 0;
1, -12.3307, 1, 0.5, 0.5, 0, 0;
1, -12.3307, 3, 0.5, 0.5, 0, 0;
1, -12.3307, -1, 0.5, 0.5, 0, 0;
1, -12.9227, 1, 0.5, 0.5, 0, 0;
1, -12.9227, 3, 0.5, 0.5, 0, 0;
1, -12.9227, -1, 0.5, 0.5, 0, 0;
1, -13.5265, 1, 0.5, 0.5, 0, 0;
1, -13.5265, 3, 0.5, 0.5, 0, 0;
1, -13.5265, -1, 0.5, 0.5, 0, 0;
1, -14.142, 1, 0.5, 0.5, 0, 0;
1, -14.142, 3, 0.5, 0.5, 0, 0;
1, -14.142, -1, 0.5, 0.5, 0, 0;
1, -14.769, 1, 0.5, 0.5, 0, 0;
1, -14.769, 3, 0.5, 0.5, 0, 0;
1, -14.769, -1, 0.5, 0.5, 0, 0;
1, -15.4072, 1, 0.5, 0.5, 0, 0;
1, -15.4072, 3, 0.5, 0.5, 0, 0;
1, -15.4072, -1, 0.5, 0.5, 0, 0;
1, -16.0566, 1, 0.5, 0.5, 0, 0;
1, -16.0566, 3, 0.5, 0.5, 0, 0;
1, -16.0566, -1, 0.5, 0.5, 0, 0;
1, -16.7169, 1, 0.5, 0.5, 0, 0;
1, -16.7169, 3, 0.5, 0.5, 0, 0;
1, -16.7169, -1, 0.5, 0.5, 0, 0;
1, -17.3877, 1, 0.5, 0.5, 0, 0;
1, -17.3877, 3, 0.5, 0.5, 0, 0;
1, -17.3877, -1, 0.5, 0.5, 0, 0;
1, -18.0691, 1, 0.5, 0.5, 0, 0;
1, -18.0691, 3, 0.5, 0.5, 0, 0;
1, -18.0691, -1, 0.5, 0.5, 0, 0;
1, -18.7606, 1, 0.5, 0.5, 0, 0;
1, -18.7606, 3, 0.5, 0.5, 0, 0;
1, -18.7606, -1, 0.5, 0.5, 0, 0;
1, -19.462, 1, 0.5, 0.5, 0, 0;
1, -19.462, 3, 0.5, 0.5, 0, 0;
1, -19.462, -1, 0.5, 0.5, 0, 0;
1, -20.1732, 1, 0.5, 0.5, 0, 0;
1, -20.1732, 3, 0.5, 0.5, 0, 0;
1, -20.1732, -1, 0.5, 0.5, 0, 0;
1, -20.8939, 1, 0.5, 0.5, 0, 0;
1, -20.8939, 3, 0.5, 0.5, 0, 0;
1, -20.8939, -1, 0.5, 0.5, 0, 0;
1, -21.6238, 1, 0.5, 0.5, 0, 0;
1, -21.6238, 3, 0.5, 0.5, 0, 0;
1, -21.6238, -1, 0.5, 0.5, 0, 0;
1, -22.3627, 1, 0.5, 0.5, 0, 0;
1, -22.3627, 3, 0.5, 0.5, 0, 0;
1, -22.3627, -1, 0.5, 0.5, 0, 0;
1, -23.1104, 1, 0.5, 0.5, 0, 0;
1, -23.1104, 3, 0.5, 0.5, 0, 0;
1, -23.1104, -1, 0.5, 0.5, 0, 0;
1, -23.8666, 1, 0.5, 0.5, 0, 0;
1, -23.8666, 3, 0.5, 0.5, 0, 0;
1, -23.8666, -1, 0.5, 0.5, 0, 0;
1, -24.6311, 1, 0.5, 0.5, 0, 0;
1, -24.6311, 3, 0.5, 0.5, 0, 0;
1, -24.6311, -1, 0.5, 0.5, 0, 0;
1, -25.4037, 1, 0.5, 0.5, 0, 0;
1, -25.4037, 3, 0.5, 0.5, 0, 0;
1, -25.4037, -1, 0.5, 0.5, 0, 0;
1, -26.1841, 1, 0.5, 0.5, 0, 0;
1, -26.1841, 3, 0.5, 0.5, 0, 0;
1, -26.1841, -1, 0.5, 0.5, 0, 0;
1, -26.9722, 1, 0.5, 0.5, 0, 0;
1, -26.9722, 3, 0.5, 0.5, 0, 0;
1, -26.9722, -1, 0.5, 0.5, 0, 0;
1, -27.7677, 1, 0.5, 0.5, 0, 0;
1, -27.7677, 3, 0.5, 0.5, 0, 0;
1, -27.7677, -1, 0.5, 0.5, 0, 0;
1, -28.5704, 1, 0.5, 0.5, 0, 0;
1, -28.5704, 3, 0.5, 0.5, 0, 0;
1, -28.5704, -1, 0.5, 0.5, 0, 0;
1, -29.3801, 1, 0.5, 0.5, 0, 0;
1, -29.3801, 3, 0.5, 0.5, 0, 0;
1, -29.3801, -1, 0.5, 0.5, 0, 0;
1, -30.1966, 1, 0.5, 0.5, 0, 0;
1, -30.1966, 3, 0.5, 0.5, 0, 0;
1, -30.1966, -1, 0.5, 0.5, 0, 0;
1, -31.0197, 1, 0.5, 0.5, 0, 0;
